License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
402R-00300,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,3179 South Peoria Court,Aurora,80014,2025-05-01
402R-00666,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,19370 East Quincy Avenue,Aurora,80015,2025-05-01
402R-00374,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,231 Gregory Street,Black Hawk,80422,2025-05-01
402R-00700,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,1995 Wewatta Street,Denver,80202,2025-05-01
402R-00015,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,4400 Grape Street,Denver,80216,2025-05-01
402R-00016,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,2601 West Alameda Avenue,Denver,80219,2025-05-01
402R-00474,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,6681 Federal Boulevard,Denver,80221,2025-05-01
402R-00298,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,6020 West 20th Avenue,Edgewater,80214,2025-05-01
402R-00501,THE GREEN SOLUTION LLC,Clearance Cannabis Co.,Retail Marijuana Store,810 North College Avenue,Fort Collins,80524,2025-05-01
402R-00654,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,4151 East Kentucky Avenue,Glendale,80246,2025-05-01
402R-00742,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,51701 Highway 6 & 24 ,Glenwood Springs,81601,2025-05-01
402R-00014,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,470 Malley Drive,Northglenn,80233,2025-05-01
402R-00670,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,1207 Southgate Place,Pueblo,81004,2025-05-01
402R-00743,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,3318 South Federal Boulevard,Sheridan,80110,2025-05-01
402R-00299,THE GREEN SOLUTION LLC,None,Retail Marijuana Store,645 Water Street,Silver Plume,80476,2025-05-01
402R-00582,THE GREEN SOLUTION LLC,Clearance Cannabis Co.,Retail Marijuana Store,1423 Santa Fe Trail,Trinidad,81082,2025-05-01
402R-01079,THE HEALING CANNA LLC,None,Retail Marijuana Store,3692 East Bijou Street,Colorado Springs,80909,2025-05-01
402R-00139,THE HERBAL CURE LLC,None,Retail Marijuana Store,985 South Logan Street,Denver,80209,2025-05-01
402R-01063,THE ORGANIC SEED LLC,Cannasseur,Retail Marijuana Store,41 North Precision Drive,Pueblo West,81007,2025-05-01
402R-00911,THE SACRED BLEND LLC,The Sacred Blend,Retail Marijuana Store,59722 County Road T,Moffat,81143,2025-05-01
402R-00718,THE SPACE STATION LLC,The Space Station,Retail Marijuana Store,206 South Main Street,Longmont,80501,2025-05-01
402R-00616,THE UNDERGROUND STATION LLC,None,Retail Marijuana Store,439 North Commercial Street,Trinidad,81082,2025-05-01
402R-00955,THREE RIVERS DEVELOPMENT LLC,Three Rivers Dispensary,Retail Marijuana Store,135 South Broadway Unit C,Denver,80209,2025-05-01
402R-00556,THREE RIVERS DEVELOPMENT LLC,Three Rivers Dispensary,Retail Marijuana Store,1714 B Santa Fe Drive,Pueblo,81006,2025-05-01
402R-00751,THREE RIVERS DEVELOPMENT LLC,Three Rivers Dispensary,Retail Marijuana Store,83 North Magneto Drive,Pueblo,81007,2025-05-01
402R-00614,TKOVR LLC,Snaxland,Retail Marijuana Store,3944 North High Street,Denver,80205,2025-05-01
402R-00548,TKOVR LLC,Snaxland,Retail Marijuana Store,82 South Federal Boulevard,Denver,80219,2025-05-01
402R-00892,TKOVR LLC,Snaxland,Retail Marijuana Store,"6200 East Yale Avenue, Unit B,",Denver,80222,2025-05-01
402R-01080,TOTAL GREEN LLC,TOTAL GREEN,Retail Marijuana Store,1105 South Chelton Road,Colorado Springs,80910,2025-05-01
402R-00945,TOWER ROAD SOCIAL LLC,Green Valley Dispensary,Retail Marijuana Store,4650 Tower Road Unit 108,Denver,80249,2025-05-01
