License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
404R-00421,NUHI LLC,Doobz,Retail Marijuana Products Mfg,4929 Ironton Street,Denver,80239,2025-05-01
404R-00137,NUVUE PHARMA LLC,None,Retail Marijuana Products Mfg,4740 Dillon Drive,Pueblo,81008,2025-05-01
404R-00527,OIL WELL INDUSTRIES LLC,The Oil Well,Retail Marijuana Products Mfg,43 North Silicon Drive,Pueblo West,81007,2025-05-01
404R-00051,OPENCO LLC,None,Retail Marijuana Products Mfg,2121 South Jason Street,Denver,80223,2025-05-01
404R-00061,ORGANIC ALTERNATIVES INC,Organic Alternatives,Retail Marijuana Products Mfg,337 Hickory Street,Fort Collins,80524,2025-05-01
404R-00401,PALISADE APOTHECARY LTD,None,Retail Marijuana Products Mfg,"125 Peach Avenue, Unit A",Palisade,81526,2025-05-01
404R-00411,PAPILLONS LLC,marQaha,Retail Marijuana Products Mfg,963 North Federal Boulevard Suites 110 & 120,Denver,80204,2025-05-01
404R-00181,PBS HOLDCO LLC,Purplebee's,Retail Marijuana Products Mfg,30899 Highway 50 East,Pueblo,81006,2025-05-01
404R-00571,PEAK MOUNTAIN SERVICES INC,Jungle Jam,Retail Marijuana Products Mfg,906 Mr 45 Lane,Moffat,81143,2025-05-01
404R-00164,PG GROW II LLC,12 Peaks Farms,Retail Marijuana Products Mfg,7800 County Road 152,Salida,81201,2025-05-01
404R-00199,PLATINUM FOODS LLC,TasteBudz,Retail Marijuana Products Mfg,711 West 8th Street,Pueblo,81003,2025-05-01
404R-00454,PNW LLC,AO Extracts,Retail Marijuana Products Mfg,701 West Mississippi Avenue,Denver,80223,2025-05-01
404R-00486,PO TECH-CO LLC,None,Retail Marijuana Products Mfg,5724 South College Avenue,Fort Collins,80525,2025-05-01
404R-00557,PROMISED LAND ORGANICS LLC,Promised Land Snack Company,Retail Marijuana Products Mfg,2518 Midpoint Drive Unit 2,Fort Collins,80525,2025-05-01
404R-00268,PUEBLO WELLNESS LLC,None,Retail Marijuana Products Mfg,"1137 South Jason Street, Suite 100",Denver,80223,2025-05-01
