License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
403R-01134,SINDUSTRIES INC,Sindustries,Retail Marijuana Cultivation Facility,4260 County Road 110,Walsenburg,81089,2025-05-01
403R-01473,SIRIUS GROUP 6 LLC,305 Gorillaz,Retail Marijuana Cultivation Facility,19276 County Road H,Ordway,81063,2025-05-01
403R-01213,SISTEM COMMERCE CITY LLC ,Silver Stem Fine Cannabis,Retail Marijuana Cultivation Facility,5275 Quebec Street Unit 105,Commerce City,80022,2025-05-01
403R-00231,SIXTY-SIX MANAGEMENT LLC,PURPLEMED,Retail Marijuana Cultivation Facility,"6420 Gunpark Drive, Unit C",Boulder,80301,2025-05-01
403R-00810,SKL HOLDINGS III LLC,SKL Holdings III LLC,Retail Marijuana Cultivation Facility,4980 North Monroe Street,Denver,80216,2025-05-01
403R-01411,SKYHIGH DREAMS LLC,None,Retail Marijuana Cultivation Facility,19829 Tamarack Lane,Ordway,81063,2025-05-01
403R-01260,SKYISLIMIT LLC,None,Retail Marijuana Cultivation Facility,104 Rio Vista Avenue,Antonito,81120,2025-05-01
403R-01084,SLOW BURN FARMS LLC,None,Retail Marijuana Cultivation Facility,8355 Maverick Lane,Ordway,81063,2025-05-01
403R-00404,SMT ENTERPRISES LLC,MAXFARMS,Retail Marijuana Cultivation Facility,130 North Lipan Street,Denver,80223,2025-05-01
403R-00107,SOHI CANNABIS COMPANY LLC,None,Retail Marijuana Cultivation Facility,2744 West 4th Avenue,Denver,80219,2025-05-01
403R-00317,SOLACE MEDS LLC,None,Retail Marijuana Cultivation Facility,1724-1732 Willox Court,Fort Collins,80524,2025-05-01
403R-00202,SOLACE MEDS OF WHEAT RIDGE LLC,None,Retail Marijuana Cultivation Facility,4845 Van Gordon Street,Wheat Ridge,80033,2025-05-01
403R-00623,SOUTHWEST ALTERNATIVE CARE LLC,Kaya ,Retail Marijuana Cultivation Facility,"6390 Gunpark Drive, Unit A",Boulder,80301,2025-05-01
403R-01263,SPCY CANNA LLC,SPCY Canna LLC,Retail Marijuana Cultivation Facility,535 Lone Tree Circle #A,Nunn,80648,2025-05-01
403R-01249,STARGAZER FARMS LLC,None,Retail Marijuana Cultivation Facility,20069 Tamarack Lane,Ordway,81063,2025-05-01
403R-00915,STERLING PHARMS INC,RvRs; George Hashington,Retail Marijuana Cultivation Facility,3065 Sterling Circle,Boulder,80301,2025-05-01
403R-00589,STONE T.M.C. LLC,The Stone,Retail Marijuana Cultivation Facility,1828 South Bannock Street,Denver,80223,2025-05-01
403R-01443,SUGAR SHACK TREEZ THAT PLEEZ INC,None,Retail Marijuana Cultivation Facility,155 Vallejo Street,Denver,80223,2025-05-01
403R-00889,SUMMIT WELLNESS,DENREC Denver Recreational Dispensary,Retail Marijuana Cultivation Facility,2042 South Bannock Street,Denver,80223,2025-05-01
403R-00174,SUMMIT WELLNESS,DENREC Denver Recreational Dispensary,Retail Marijuana Cultivation Facility,2211 South Jason Street,Denver,80223,2025-05-01
403R-01118,SUNHOUSE COLORADO LLC,Sunhouse,Retail Marijuana Cultivation Facility,4640 North Ironton Street,Denver,80239,2025-05-01
403R-00193,SUNRISE SOLUTIONS,None,Retail Marijuana Cultivation Facility,43 Main Street,Bailey,80421,2025-05-01
403R-01482,SUNSHINE BROADWAY LLC,Sunshine,Retail Marijuana Cultivation Facility,4949 Broadway Street Unit 55 & 56,Boulder,80304,2025-05-01
403R-01056,SUNSHINE FARMS LLC,None,Retail Marijuana Cultivation Facility,7183 Arapahoe Road Unit A,Boulder,80303,2025-05-01
403R-00499,SUNSHINE NORTH LLC,Sunshine,Retail Marijuana Cultivation Facility,"6859 North Foothills Highway, Building G",Boulder,80302,2025-05-01
403R-00911,SUPERIOR MEDICALS INC,None,Retail Marijuana Cultivation Facility,"3095 Sterling Circle West, Unit 3",Boulder,80301,2025-05-01
403R-00839,SUSTAINABLE HEALTH LLC,14er Holistics,Retail Marijuana Cultivation Facility,1830 55th Street,Boulder,80301,2025-05-01
403R-00268,SUSTAINABLE HEALTH LLC,14er Gardens,Retail Marijuana Cultivation Facility,"1840 Commerce Street Units A, B, and C",Boulder,80301,2025-05-01
403R-01091,SUSTAINABLE HEALTH LLC,14er Gardens,Retail Marijuana Cultivation Facility,"4700 Sterling Drive, Suite A",Boulder,80301,2025-05-01
403R-00689,SWEET DS FARMS LLC,Inferno Natural Gas,Retail Marijuana Cultivation Facility,"5200 East Smith Road, Suite 100",Denver,80216,2025-05-01
403R-00277,SWEET LEAF PIONEER LLC,None,Retail Marijuana Cultivation Facility,825 A Chambers Avenue,Eagle,81631,2025-05-01
403R-01141,SWEETWATER GROUP LLC,Sweetwater Cannabis,Retail Marijuana Cultivation Facility,1335 Highway 85/87,Walsenburg,81089,2025-05-01
403R-00036,SWEETWATER PARTNERS LLC,The Prez,Retail Marijuana Cultivation Facility,4240 North Kearney Street,Denver,80216,2025-05-01
