Business Name,License Type,City,County,Sales Last Month,Period
The Kushery,Retailer,Everett,"Snohomish county, WA","$186,949",Dec 2022
5th House Farms,Tier 3 Producer & Processor,Rochester,"Thurston county, WA","$186,724",Dec 2022
A Greener Today Marijuana Lynnwood,Retailer,Lynnwood,"Snohomish county, WA","$186,670",Dec 2022
A Greener Today Marijuana,Retailer,Shoreline,"King county, WA","$184,306",Dec 2022
Fweedom Cannabis,Retailer,Seattle,"King county, WA","$183,424",Dec 2022
Starbuds,Retailer,Bellingham,"Whatcom county, WA","$181,129",Dec 2022
Birch Bay Budz,Retailer,Blaine,"Whatcom county, WA","$181,071",Dec 2022
Bondi Farms,Tier 3 Producer & Processor,Longview,"Cowlitz county, WA","$180,891",Dec 2022
T Brothers Bud Lodge,Retailer,Lacey,"Thurston county, WA","$180,806",Dec 2022
Surefire Growers,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$180,770",Dec 2022
Old Toby,Retailer,Chehalis,"Lewis county, WA","$180,348",Dec 2022
Destination Highway 420,Retailer,Bremerton,"Kitsap county, WA","$178,690",Dec 2022
White Rabbit Retail,Retailer,Lynnwood,"Snohomish county, WA","$178,178",Dec 2022
Bc Labs,Tier 2 Producer & Processor,Port Angeles,"Clallam county, WA","$177,698",Dec 2022
Greenworks NW,Retailer,Seattle,"King county, WA","$177,580",Dec 2022
Peak Supply,Tier 3 Producer & Processor,Cheney,"Spokane county, WA","$177,261",Dec 2022
Mary Janes,Retailer,Moses Lake,"Grant county, WA","$176,918",Dec 2022
Top Shelf,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$176,881",Dec 2022
The Bakeree,Retailer,Seattle,"King county, WA","$176,244",Dec 2022
Piece of Mind Cannabis,Retailer,Bellingham,"Whatcom county, WA","$176,226",Dec 2022
Oz,Retailer,Seattle,"King county, WA","$176,168",Dec 2022
Hypothesis Gardens,Tier 2 Producer & Processor,Spokane Valley,"Spokane county, WA","$176,112",Dec 2022
Seaweed Retail,Retailer,Edmonds,"Snohomish county, WA","$175,359",Dec 2022
Pacific Coast Farms,Tier 2 Producer & Processor,Tacoma,"Pierce county, WA","$175,084",Dec 2022
Grow Bros,Tier 3 Producer & Processor,Ellensburg,"Kittitas county, WA","$174,274",Dec 2022
Alkaloid Cannabis Co,Retailer,Spokane,"Spokane county, WA","$173,752",Dec 2022
Higher Leaf Redmond,Retailer,Redmond,"King county, WA","$172,696",Dec 2022
Shelton Cannabis Company,Retailer,Shelton,"Mason county, WA","$171,988",Dec 2022
Axabra,Tier 3 Producer & Processor,Spokane,"Spokane county, WA","$171,886",Dec 2022
Cedar Greensjamestown Skallam Compact,Retailer,Sequim,"Null county, WA","$171,483",Dec 2022
Cannablyss,Retailer,Lake Stevens,"Snohomish county, WA","$171,160",Dec 2022
420 Spot Shop,Retailer,Port Orchard,"Kitsap county, WA","$169,639",Dec 2022
Inland Empire Growing,Tier 2 Producer & Processor,Airway Heights,"Spokane county, WA","$169,623",Dec 2022
High End Market Place,Retailer,Vancouver,"Clark county, WA","$169,563",Dec 2022
Svin Garden,Tier 2 Producer & Processor,Stanwood,"Snohomish county, WA","$169,224",Dec 2022
Greenfoot Cannabis,Retailer,Olympia,"Thurston county, WA","$169,049",Dec 2022
